"Media And Storage Devices",Label,"Asset Name(s)","Threat Agent","Threat Action",Vulnerability,Control,Global,Media
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Laptop,,"Laboratory Information System","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Laptop,,"Laboratory Information System","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Laptop,,RIS,"Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Laptop,,RIS,"Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
"Storage Area Network",,"Another Two","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
"Storage Area Network",,"Another Two","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Acceptable Use Policy",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Accounts lock after too many failed logins",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Accounts lock after too many failed logins",TBD,TBD
Desktop,"One more","EDI Gateway","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Accounts lock after too many failed logins",TBD,TBD
Desktop,"One more","EDI Gateway","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Accounts lock after too many failed logins",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Accounts lock after too many failed logins",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Accounts lock after too many failed logins",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Accounts lock after too many failed logins",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Accounts lock after too many failed logins",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Accounts lock after too many failed logins",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Accounts lock after too many failed logins",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Accounts lock after too many failed logins",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Accounts lock after too many failed logins",TBD,TBD
"Desktop / Laptop",,"Another Two",Malware,"Theft of sensitive data","Vulnerabilities in system configurations","Accounts lock after too many failed logins",TBD,TBD
"Desktop / Laptop",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Accounts lock after too many failed logins",TBD,TBD
"Disk Array",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Accounts lock after too many failed logins",TBD,TBD
"Disk Array",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Accounts lock after too many failed logins",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Accounts lock after too many failed logins",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Accounts lock after too many failed logins",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Accounts lock after too many failed logins",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Accounts lock after too many failed logins",TBD,TBD
Laptop,"Maxi test","EDI Gateway","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Accounts lock after too many failed logins",TBD,TBD
Laptop,"Maxi test","EDI Gateway","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Accounts lock after too many failed logins",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Accounts lock after too many failed logins",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Accounts lock after too many failed logins",TBD,TBD
Laptop,,"Laboratory Information System","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Accounts lock after too many failed logins",TBD,TBD
Laptop,,"Laboratory Information System","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Accounts lock after too many failed logins",TBD,TBD
Laptop,,RIS,"System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Accounts lock after too many failed logins",TBD,TBD
Laptop,,RIS,"System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Accounts lock after too many failed logins",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Accounts lock after too many failed logins",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Accounts lock after too many failed logins",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Accounts lock after too many failed logins",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Accounts lock after too many failed logins",TBD,TBD
"Storage Area Network",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Accounts lock after too many failed logins",TBD,TBD
"Storage Area Network",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Accounts lock after too many failed logins",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","Careless IT personnel","Improper destruction, disposal or reuse of media","Destruction/Disposal Vulnerabilities","Another Customer Control from Jon",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Burglar, Thief or anyone who finds a lost device","Access to sensitive data on laptop once in possession of the laptop","Vulnerabilities in user authentication","Another Customer Control from Jon",TBD,TBD
"Backup Media",text,"My Asset by Max#|#Testing with XLSX","Burglar, Thief or anyone who finds a lost device","Corruption or destruction of important data","Anti-malware Vulnerabilities","Anti-virus policy and procedures",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus policy and procedures",TBD,TBD
Desktop,"One more","EDI Gateway",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus policy and procedures",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus policy and procedures",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus policy and procedures",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus policy and procedures",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus policy and procedures",TBD,TBD
"Desktop / Laptop",,"Another Two",Burglar/Thief,"Theft of equipment","Anti-malware Vulnerabilities","Anti-virus policy and procedures",TBD,TBD
"Disk Array",,"Another Two",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus policy and procedures",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus policy and procedures",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus policy and procedures",TBD,TBD
Laptop,"Maxi test","EDI Gateway",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus policy and procedures",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus policy and procedures",TBD,TBD
Laptop,,"Laboratory Information System",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus policy and procedures",TBD,TBD
Laptop,,RIS,Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus policy and procedures",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus policy and procedures",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus policy and procedures",TBD,TBD
"Storage Area Network",,"Another Two",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus policy and procedures",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Careless user","Installation of malicious software","Overly-trusting employees","Anti-virus software",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus software",TBD,TBD
Desktop,"One more","EDI Gateway","Careless user","Installation of malicious software","Overly-trusting employees","Anti-virus software",TBD,TBD
Desktop,"One more","EDI Gateway",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus software",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Careless user","Installation of malicious software","Overly-trusting employees","Anti-virus software",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus software",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Careless user","Installation of malicious software","Overly-trusting employees","Anti-virus software",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus software",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Careless user","Installation of malicious software","Overly-trusting employees","Anti-virus software",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus software",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Careless user","Installation of malicious software","Overly-trusting employees","Anti-virus software",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus software",TBD,TBD
"Desktop / Laptop",,"Another Two","Careless user","Installation of malicious software","Overly-trusting employees","Anti-virus software",TBD,TBD
"Desktop / Laptop",,"Another Two","System Cracker","Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus software",TBD,TBD
"Disk Array",,"Another Two","Careless user","Installation of malicious software","Overly-trusting employees","Anti-virus software",TBD,TBD
"Disk Array",,"Another Two",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus software",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","Careless user","Installation of malicious software","Overly-trusting employees","Anti-virus software",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus software",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Careless user","Installation of malicious software","Overly-trusting employees","Anti-virus software",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus software",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Careless user","Installation of malicious software","Overly-trusting employees","Anti-virus software",TBD,TBD
Laptop,"Maxi test","EDI Gateway",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus software",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Careless user","Installation of malicious software","Overly-trusting employees","Anti-virus software",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus software",TBD,TBD
Laptop,,"Laboratory Information System","Careless user","Installation of malicious software","Overly-trusting employees","Anti-virus software",TBD,TBD
Laptop,,"Laboratory Information System",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus software",TBD,TBD
Laptop,,RIS,"Careless user","Installation of malicious software","Overly-trusting employees","Anti-virus software",TBD,TBD
Laptop,,RIS,Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus software",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Careless user","Installation of malicious software","Overly-trusting employees","Anti-virus software",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus software",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Careless user","Installation of malicious software","Overly-trusting employees","Anti-virus software",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus software",TBD,TBD
"Storage Area Network",,"Another Two","Careless user","Installation of malicious software","Overly-trusting employees","Anti-virus software",TBD,TBD
"Storage Area Network",,"Another Two",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Anti-virus software",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application code review",TBD,TBD
Desktop,"One more","EDI Gateway","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application code review",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application code review",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application code review",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application code review",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application code review",TBD,TBD
"Desktop / Laptop",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application code review",TBD,TBD
"Disk Array",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application code review",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application code review",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application code review",TBD,TBD
Laptop,"Maxi test","EDI Gateway","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application code review",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application code review",TBD,TBD
Laptop,,"Laboratory Information System","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application code review",TBD,TBD
Laptop,,RIS,"System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application code review",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application code review",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application code review",TBD,TBD
"Storage Area Network",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application code review",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application or data partitioning",TBD,TBD
Desktop,"One more","EDI Gateway","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application or data partitioning",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application or data partitioning",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application or data partitioning",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application or data partitioning",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application or data partitioning",TBD,TBD
"Desktop / Laptop",,"Another Two","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application or data partitioning",TBD,TBD
"Disk Array",,"Another Two","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application or data partitioning",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application or data partitioning",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application or data partitioning",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application or data partitioning",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application or data partitioning",TBD,TBD
Laptop,,"Laboratory Information System","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application or data partitioning",TBD,TBD
Laptop,,RIS,"Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application or data partitioning",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application or data partitioning",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application or data partitioning",TBD,TBD
"Storage Area Network",,"Another Two","Careless software developer","Insecure development of software","Vulnerabilities in custom applications","Application or data partitioning",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","System Cracker","Social Engineering","Overly-trusting employees","Application penetration testing",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application penetration testing",TBD,TBD
Desktop,"One more","EDI Gateway","System Cracker","Social Engineering","Overly-trusting employees","Application penetration testing",TBD,TBD
Desktop,"One more","EDI Gateway","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application penetration testing",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","System Cracker","Social Engineering","Overly-trusting employees","Application penetration testing",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application penetration testing",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","System Cracker","Social Engineering","Overly-trusting employees","Application penetration testing",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application penetration testing",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","System Cracker","Social Engineering","Overly-trusting employees","Application penetration testing",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application penetration testing",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","System Cracker","Social Engineering","Overly-trusting employees","Application penetration testing",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application penetration testing",TBD,TBD
"Desktop / Laptop",,"Another Two","System Cracker","Social Engineering","Overly-trusting employees","Application penetration testing",TBD,TBD
"Desktop / Laptop",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application penetration testing",TBD,TBD
"Disk Array",,"Another Two","System Cracker","Social Engineering","Overly-trusting employees","Application penetration testing",TBD,TBD
"Disk Array",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application penetration testing",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","System Cracker","Social Engineering","Overly-trusting employees","Application penetration testing",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application penetration testing",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","System Cracker","Social Engineering","Overly-trusting employees","Application penetration testing",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application penetration testing",TBD,TBD
Laptop,"Maxi test","EDI Gateway","System Cracker","Social Engineering","Overly-trusting employees","Application penetration testing",TBD,TBD
Laptop,"Maxi test","EDI Gateway","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application penetration testing",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","System Cracker","Social Engineering","Overly-trusting employees","Application penetration testing",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application penetration testing",TBD,TBD
Laptop,,"Laboratory Information System","System Cracker","Social Engineering","Overly-trusting employees","Application penetration testing",TBD,TBD
Laptop,,"Laboratory Information System","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Application penetration testing",TBD,TBD
